arrival_date,n,seven_avg
2021-09-22,145,120.28571428571429
2021-09-23,113,137.85714285714286
2021-09-24,78,136.42857142857142
2021-09-25,72,141.85714285714286
2021-09-26,271,142.42857142857142
2021-09-27,84,146.71428571428572
2021-09-28,230,146.14285714285714
2021-09-29,149,143.28571428571428
2021-09-30,143,123
2021-10-01,74,133.71428571428572
2021-10-02,52,120.57142857142857
2021-10-03,129,122.14285714285714
2021-10-04,159,126.42857142857143
2021-10-05,138,132.28571428571428
2021-10-06,160,144.28571428571428
2021-10-07,173,133.28571428571428
2021-10-08,115,121.71428571428571
2021-10-09,136,130.57142857142858
2021-10-10,52,131
2021-10-11,78,121.85714285714286
2021-10-12,200,112.42857142857143
2021-10-13,163,94.71428571428571
2021-10-14,109,91.28571428571429
2021-10-15,49,82.42857142857143
2021-10-16,12,54
2021-10-18,28,31
2021-10-19,16,15.571428571428571
2021-10-20,1,12.285714285714286
2021-10-21,2,11.142857142857142
2021-10-23,1,12.571428571428571
2021-10-24,26,15
2021-10-25,4,21.142857142857142
2021-10-26,38,26.285714285714285
2021-10-27,33,33.57142857142857
2021-10-28,44,30
2021-10-29,38,33.714285714285715
2021-10-30,52,33.714285714285715
2021-10-31,1,36.714285714285715
2021-11-01,30,39.42857142857143
2021-11-02,38,45.285714285714285
2021-11-03,54,44.142857142857146
2021-11-04,63,53.142857142857146
2021-11-05,79,58.857142857142854
2021-11-06,44,67
2021-11-07,64,72
2021-11-08,70,72.14285714285714
2021-11-09,95,81.42857142857143
2021-11-10,89,95.57142857142857
2021-11-11,64,103.85714285714286
2021-11-12,144,108.14285714285714
2021-11-13,143,113
2021-11-14,122,117.14285714285714
2021-11-15,100,121
2021-11-16,129,115.28571428571429
2021-11-17,118,111.14285714285714
2021-11-18,91,103
2021-11-19,104,101.71428571428571
2021-11-20,114,97.85714285714286
2021-11-21,65,89
2021-11-22,91,83.14285714285714
2021-11-23,102,78.42857142857143
2021-11-24,56,77.85714285714286
2021-11-25,50,84
2021-11-26,71,84.57142857142857
2021-11-27,110,85.57142857142857
2021-11-28,108,90.14285714285714
2021-11-29,95,88.28571428571429
2021-11-30,109,78.57142857142857
2021-12-01,88,65.71428571428571
2021-12-02,37,52.857142857142854
2021-12-03,3,42.714285714285715
2021-12-04,20,49.857142857142854
2021-12-05,18,39
2021-12-06,24,35.42857142857143
2021-12-07,159,49.42857142857143
2021-12-08,12,68.57142857142857
2021-12-09,12,66.42857142857143
2021-12-10,101,86.14285714285714
2021-12-11,154,70.71428571428571
2021-12-12,3,79.14285714285714
2021-12-13,162,78.57142857142857
2021-12-14,51,69.28571428571429
2021-12-15,71,72.57142857142857
2021-12-16,8,112.28571428571429
2021-12-17,36,101.14285714285714
2021-12-18,177,116
2021-12-19,281,127.28571428571429
2021-12-20,84,145.42857142857142
2021-12-21,155,182.28571428571428
2021-12-22,150,193.42857142857142
2021-12-23,135,164.71428571428572
2021-12-24,294,164.28571428571428
2021-12-25,255,162.14285714285714
2021-12-26,80,162.71428571428572
2021-12-27,81,157.14285714285714
2021-12-28,140,153.28571428571428
2021-12-29,154,163.42857142857142
2021-12-30,96,174.71428571428572
2021-12-31,267,190.71428571428572
2022-01-01,326,180.14285714285714
2022-01-02,159,173.57142857142858
2022-01-03,193,167
2022-01-04,66,143.28571428571428
2022-01-05,108,111.85714285714286
2022-01-06,50,108.57142857142857
2022-01-07,101,101
2022-01-08,106,105.57142857142857
2022-01-09,136,103.57142857142857
2022-01-10,140,111.28571428571429
2022-01-11,98,110.71428571428571
2022-01-12,94,109.57142857142857
2022-01-13,104,104.14285714285714
2022-01-14,97,98.57142857142857
2022-01-15,98,102.14285714285714
2022-01-16,98,104.42857142857143
2022-01-17,101,98.71428571428571
2022-01-18,123,85
2022-01-19,110,85
2022-01-20,64,85
2022-01-21,1,85
